"variant","source","f_revised"
"coconut components","coconut","raw_agricultural_material"
"desiccated coconut","coconut","raw_agricultural_material"
"cumin seeds powder","cumin","taste profile / spice"
"disodium guanylate","synthetic","flavouring agent"
"flavouring ins 627","synthetic","flavouring agent"
"disodium inosinate","synthetic","flavouring agent"
"flavouring ins 631","synthetic","flavouring agent"
"acacia gum ins 414","acacia","stabiliser"
"emulsifier ins 414","acacia","emulsifier"
"stabilizer ins 414","acacia","stabiliser"
"emulsifier ins 400","synthetic","emulsifier"
"emulsifier ins 429","soybean | sunflower","emulsifier"
"emulsifier ins 436","synthetic","emulsifier"
"emulsifier ins 478","palm | soybean | sunflower","emulsifier"
"emulsifier ins 479","palm | soybean | sunflower","emulsifier"
"emulsifier ins 481","synthetic","emulsifier"
"stabilizer ins 400","synthetic","stabiliser"
"stabilizer ins 436","synthetic","stabiliser"
"stabilizer ins 481","synthetic","stabiliser"
"emulsifier ins 491","sorbitol | palm","emulsifier"
"stabilizer ins 491","sorbitol | palm","stabiliser"
"emulsifier ins 433","synthetic","emulsifier"
"stabilizer ins 433","synthetic","stabiliser"
"emulsifier ins 475","palm | soybean | sunflower","emulsifier"
"stabilizer ins 475","palm | soybean | sunflower","stabiliser"
"emulsifier ins 476","castor bean","emulsifier"
"emulsifier ins 477","palm | soybean | sunflower","emulsifier"
"stabilizer ins 477","palm | soybean | sunflower","stabiliser"
"emulsifier ins 492","sorbitol | palm","emulsifier"
"stabilizer ins 508","mineral","stabiliser"
"potassium chloride","mineral","fortification_agent"
"stabilizer ins 516","mineral","stabiliser"
"milk fat desi ghee","milk","lipid base"
"humectant glycerol","palm | soybean | sunflower","humectant"
"emulsifier ins 445","pine resin","emulsifier"
"stabilizer ins 445","pine resin","stabiliser"
"grape seed extract","grape","NULL"
"elaichi flavouring","cardamom","flavouring agent"
"green chilka moong","mung bean","raw_agricultural_material"
"stabilizer ins 412","guar bean","stabiliser"
"khar alkaline salt","mineral","raw_agricultural_material"
"sunflower lecithin","sunflower","emulsifier"
"emulsifier ins 322","soybean | sunflower","emulsifier"
"stabilizer ins 322","soybean | sunflower","stabiliser"
"lemon juice powder","lemon","flavouring agent"
"lemon fruit powder","lemon","flavouring agent"
"long pepper powder","long pepper","taste profile / spice"
"malic acid ins 296","apple","acidity regulator"
"wheat maltodextrin","wheat","bulking agent"
"manganese sulphate","mineral","NULL"
"milk solids casein","milk","processed_ingredient"
"monk fruit extract","monk fruit","sweetener"
"emulsifier ins 471","palm | soybean | sunflower","emulsifier"
"stabilizer ins 471","palm | soybean | sunflower","stabiliser"
"dehydrated parsley","parsley","taste profile / spice"
"emulsifier ins 440","apple | citrus","emulsifier"
"stabilizer ins 440","apple | citrus","stabiliser"
"stabilizer ins 435","synthetic","stabiliser"
"pomegranate powder","pomegranate","colour"
"pomegranate flower","pomegranate","taste profile / spice"
"bacillus coagulans","synthetic","NULL"
"flattened red rice","rice","raw_agricultural_material"
"safflower seed oil","safflower","lipid base"
"stabilizer ins 401","seaweed","stabiliser"
"stabilizer ins 331","synthetic","stabiliser"
"emulsifier ins 420","corn | tapioca","emulsifier"
"dehydrated spinach","spinach","raw_agricultural_material"
"stabilizer ins 444","synthetic","stabiliser"
"stabilizer ins 417","tara tree","stabiliser"
"stabilizer ins 337","synthetic","stabiliser"
"vanilla flavouring","vanilla","flavouring agent"
"bacche di vaniglia","vanilla","taste profile / spice"
"gousses de vanille","vanilla","taste profile / spice"
"vanilla flavouring","vanilla","flavouring agent"
"vamilla flavouring","vanilla","flavouring agent"
"ammonium hydroxide","synthetic","acidity regulator"
"basa pangasius sp.","basa","raw_agricultural_material"
"custard flavouring","synthetic","flavouring agent"
"stabilizer ins 472","palm | soybean | sunflower","emulsifier|stabiliser"
"khus roots extract","khus","flavouring agent"
"distillate of khas","khas","flavouring agent"
"distillate of khus","khus","flavouring agent"
"stabilizer ins 418","synthetic","stabiliser"
"stabilizer ins 406","seaweed","stabiliser|gelling agent"
"glutamine peptides","synthetic","fortification_agent"
"munakka flavouring","munakka","flavouring agent"
"munakka distillate","munakka","flavouring agent"
"propellant ins 941","synthetic","propellant"
"tulsi leaf extract","tulsi","flavouring agent"
"cod liver fish oil","cod","lipid base"
"vegetable fats shea","shea","lipid base"
"himalayan pink salt","mineral","raw_agricultural_material"
"food color ins 150d","sugarcane","colour"
"annatto ins 160b ii","annatto","colour"
"vitamins vitamin b2","synthetic","fortification_agent"
"stabilizer ins 1422","tapioca","stabiliser"
"emulsifier ins 1450","corn | tapioca","emulsifier|stabiliser"
"stabilizer ins 1450","corn | tapioca","emulsifier|stabiliser"
"stabilizer ins 1400","corn","stabiliser"
"stabilizer ins 1404","tapioca","stabiliser"
"tropical flavouring","synthetic","flavouring agent"
"organic ginger root","ginger","taste profile / spice"
"dried ginger powder","ginger","taste profile / spice"
"dried glucose syrup","corn | tapioca","sweetener|bulking agent"
"hazelnut flavouring","hazelnut","flavouring agent"
"magnesium aspartate","mineral","fortification_agent"
"magnesium carbonate","mineral","fortification_agent"
"magnesium gluconate","mineral","fortification_agent"
"magnesium hydroxide","mineral","fortification_agent"
"magnesium threonate","mineral","fortification_agent"
"refined wheat flour","wheat","raw_agricultural_material"
"alphonso mango pulp","mango","raw_agricultural_material"
"skimmed milk powder","milk","processed_ingredient"
"coconut milk powder","coconut","processed_ingredient"
"defatted soya flour","soybean","raw_agricultural_material"
"soya flour defatted","soybean","raw_agricultural_material"
"soy protein isolate","soybean","processed_ingredient"
"rawberry flavouring","synthetic","flavouring agent"
"sunflower fruit oil","sunflower","lipid base"
"vitamin a palmitate","palm","fortification_agent"
"vital wheat protein","wheat","processed_ingredient"
"aregulators ins 341","mineral","acidity regulator"
"humectant ins 451 i","mineral","humectant"
"sequestrant ins 451","mineral","sequestrant"
"sequestrant ins 452","mineral","sequestrant"
"potassium carbonate","mineral","acidity regulator"
"magnesium carbonate","mineral","anticaking agent"
"antioxidant ins 330","synthetic | corn","antioxidant|preservative"
"organic fennel seed","fennel","taste profile / spice"
"partly skimmed milk","milk","raw_agricultural_material"
"acetic acid ins 260","synthetic","acidity regulator"
"malted barley flour","barley","raw_agricultural_material"
"basmati rice grains","rice","raw_agricultural_material"
"cluster bean powder","cluster bean","thickener"
"big cardamom powder","cardamom","taste profile / spice"
"black pepper powder","black pepper","taste profile / spice"
"butterscotch pieces","milk | sugarcane","sweetener|flavouring agent"
"cauliflower florets","cauliflower","raw_agricultural_material"
"malt extract solids","barley","sweetener"
"green chilli flakes","chilli","taste profile / spice"
"roasted cumin seeds","cumin","taste profile / spice"
"emulsifier ins 4806","palm | soybean | sunflower","emulsifier"
"stabilizer ins 4806","palm | soybean | sunflower","stabiliser"
"stabilizer ins 1202","synthetic","stabiliser"
"emulsifier tween 80","palm | soybean | sunflower","emulsifier"
"confectioners glaze","lac beetle","glazing agent"
"cardamom flavouring","cardamom","flavouring agent"
"stabilizer guar gum","guar","stabiliser|thickener"
"emulsifier lecithin","soybean | sunflower","emulsifier"
"sunflower lecithins","sunflower","emulsifier"
"candied lemon peels","lemon","sweetener"
"whole dew bean moth","moth bean","raw_agricultural_material"
"parsley leaf powder","parsley","taste profile / spice"
"pea protein isolate","pea","processed_ingredient"
"stabilizer ins e440","apple | citrus","stabiliser|thickener"
"sichuan pepper corn","sichuan peppercorn","taste profile / spice"
"stabilizer ins 1201","synthetic","stabiliser"
"flattened rice poha","rice","raw_agricultural_material"
"rosemary flavouring","rosemary","flavouring agent"
"sequestrant ins 385","synthetic","sequestrant"
"antioxidant ins 386","synthetic","antioxidant"
"stabilizer tara gum","tara tree","stabiliser|thickener"
"vanillin flavouring","synthetic","flavouring agent"
"white pepper powder","white peppercorn","taste profile / spice"
"asparagus recemosus","asparagus recemosus","raw_agricultural_material"
"sweet potato starch","sweet potato","processed_ingredient"
"emulsifier ins 4726","palm | soybean | sunflower","emulsifier"
"emulsifier ins 472b","palm | soybean | sunflower","emulsifier"
"emulsifier ins 472c","palm | soybean | sunflower","emulsifier"
"dioscores bulbifera","dioscorea bulbifera","raw_agricultural_material"
"distillate of gajar","carrot","flavouring agent"
"distillate of kasni","kasni","flavouring agent"
"stabilizer ins 1102","synthetic","stabiliser"
"stabilizer ins 1505","synthetic","stabiliser"
"stabilizer ins 1204","synthetic","stabiliser"
"vegetable shortening","palm | soybean | groundnut","lipid base"
"edible vegetable fat","palm | soybean | sunflower | groundnut","lipid base"
"edible vegetable oil","palm | soybean | sunflower | groundnut","lipid base"
"edible vegeteble oil","palm | soybean | sunflower | groundnut","lipid base"
"raw mango flavouring","mango","flavouring agent"
"milkotin milk solids","milk","processed_ingredient"
"foxtail millet flour","foxtail millet","raw_agricultural_material"
"sorghum millet flour","sorghum","raw_agricultural_material"
"pistachio flavouring","pistachio","flavouring agent"
"refined ricebran oil","rice","lipid base"
"refined soyabean oil","soybean","lipid base"
"soya protein isolate","soybean","processed_ingredient"
"inverter sugar syrup","sugarcane","sweetener"
"rising agent ins 575","corn | tapioca","raising agent"
"texturizer ins 451 i","synthetic","texturizer"
"sodium polyphosphate","mineral","sequestrant"
"emulsifier ins 452 i","mineral","emulsifier"
"stabilizer ins 452 i","mineral","stabiliser"
"potassium phosphates","mineral","acidity regulator"
"preservative ins 341","mineral","preservative"
"ammonium bicarbonate","synthetic","raising agent"
"rising agent ins 503","synthetic","raising agent"
"potassium carbonates","mineral","acidity regulator"
"stabilizer ins 170 i","mineral","stabiliser"
"compounded asafetida","asafoetida | wheat","taste profile / spice"
"yeast extract powder","yeast","flavouring agent"
"petit-lait en poudre","milk","processed_ingredient"
"acesulfame potassium","synthetic","sweetener"
"dahi starter culture","milk","fermentation_agent"
"lactic acid ferments","synthetic","preservative"
"enzyme alpha amylase","aspergillus oryzae | barley","flour treatment agent"
"coffee beans arabica","coffee","flavouring agent"
"coffee beans robusta","coffee","flavouring agent"
"chickpea flour besan","chickpea","raw_agricultural_material"
"large cardamom whole","cardamom","taste profile / spice"
"blueberry flavouring","blueberry","flavouring agent"
"emulsifier ins 460 i","wood","emulsifier"
"stabilizer ins 460 i","wood","stabiliser"
"cottage cheese chena","milk","processed_ingredient"
"chocolate flavouring","cocoa","flavouring agent"
"cranberry flavouring","cranberry","flavouring agent"
"roasted cumin powder","cumin","taste profile / spice"
"thickener acacia gum","acacia","thickener|stabiliser"
"sorbitan tristearate","palm | soybean | sunflower","emulsifier"
"ferric pyrophosphate","mineral","antioxidant"
"monosodium glutamate","synthetic | sugarcane | corn","taste profile / spice"
"confectioner's glaze","lac beetle","coating agent"
"pharmaceutical glaze","lac beetle","coating agent"
"split chickpea flour","chickpea","raw_agricultural_material"
"green tea flavouring","green tea","flavouring agent"
"emulsifier lecithins","soybean | sunflower","emulsifier"
"split yellow lentils","lentil","raw_agricultural_material"
"roasted mustard seed","mustard","taste profile / spice"
"toasted onion flakes","onion","taste profile / spice"
"toasted onion powder","onion","taste profile / spice"
"vitamins pantothenol","synthetic","antioxidant"
"pineapple flavouring","pineapple","flavouring agent"
"preservative ins 212","synthetic","preservative"
"preservative ins 224","synthetic","preservative"
"preservative ins 202","synthetic","preservative"
"pyridoxine hydroxide","synthetic","antioxidant"
"glutinous rice flour","rice","raw_agricultural_material"
"preservative ins 211","synthetic","preservative"
"preservative ins 200","synthetic","preservative"
"humectant ins 420 ii","corn | tapioca","humectant"
"thiamine mononitrate","synthetic","antioxidant"
"thiamin hydrohloride","synthetic","antioxidant"
"thiamine mononitrate","synthetic","antioxidant"
"processed gooseberry","gooseberry","raw_agricultural_material"
"vitamins vitamin b12","synthetic","antioxidant"
"bubblegum flavouring","synthetic","flavouring agent"
"creatine monohydrate","synthetic","antioxidant"
"emulsifier ins 472 e","palm | soybean | sunflower","emulsifier"
"psyllium husk powder","psyllium","thickener|bulking agent"
"thickener gellan gum","sphingomonas elodea","thickener|stabiliser"
"guarana seed extract","guarana","flavouring agent"
"water chestnut flour","water chestnut","raw_agricultural_material"
"refined palmolein oil","palm","lipid base"
"hydrogenated palm oil","palm","lipid base"
"hydrogenated palm fat","palm","lipid base"
"edible vegetable fats","palm | soybean | groundnut | sunflower","lipid base"
"refined vegetable oil","palm | soybean | sunflower | groundnut","lipid base"
"annatto extract color","annatto","colour"
"color paprika extract","paprika","colour"
"curcumin color ins 10","turmeric","colour"
"synthetic food colors","synthetic","colour"
"color vegetable juice","carrot | beetroot","colour"
"modified maize starch","corn","thickener"
"modified starch maize","corn","thickener"
"roasted garlic flakes","garlic","taste profile / spice"
"lait ecreme en poudre","milk","processed_ingredient"
"lait entier en poudre","milk","processed_ingredient"
"refined rice bran oil","rice","lipid base"
"strawberry flavouring","strawberry","flavouring agent"
"refined sunflower oil","sunflower","lipid base"
"acidity regulator ins","synthetic","acidity regulator"
"acidity regulators ns","synthetic","acidity regulator"
"raising agent ins 341","mineral","raising agent"
"emulsifier ins 339iii","synthetic","emulsifier"
"stabilizer ins 339 ii","synthetic","stabiliser"
"dipotassium phosphate","mineral","firming agent"
"firming agent ins 341","mineral","firming agent"
"raising agent ins 503","synthetic","raising agent"
"potassium bicarbonate","synthetic","raising agent"
"compounded asafoetida","asafoetida","taste profile / spice"
"asafootida flavouring","asafoetida","flavouring agent"
"raising agent ins 500","synthetic","raising agent"
"fenugreek leaf powder","fenugreek","taste profile / spice"
"thickener xanthan gum","synthetic | corn","thickener"
"caramel color ins 415","sugarcane","colour"
"coriander seed powder","coriander","taste profile / spice"
"haldi turmeric powder","turmeric","taste profile / spice"
"pasturised toned milk","milk","raw_agricultural_material"
"pasteurised amul milk","milk","raw_agricultural_material"
"active lactic culture","milk","fermentation_agent"
"live bacteria culture","milk","fermentation_agent"
"ammonium phosphatides","synthetic","emulsifier"
"soluble coffee powder","coffee","flavouring agent"
"artificial flavouring","synthetic","flavouring agent"
"black cardamom powder","cardamom","taste profile / spice"
"large cardamom powder","cardamom","taste profile / spice"
"indian cottage cheese","milk","processed_ingredient"
"paneer cottage cheese","milk","processed_ingredient"
"romano cheese enzymes","milk","fermentation_agent"
"cucumber seed ins 396","cucumber","anticaking agent"
"stabilizer gum arabic","acacia","stabiliser|thickener"
"sorbitean tristearate","palm | soybean | sunflower","emulsifier"
"mono sodium glutamate","synthetic","taste profile / spice"
"gelling agent ins 508","synthetic","gelling agent"
"ghee clarified butter","milk","lipid base"
"glazing agent ins 903","beeswax","glazing agent"
"glazing agent ins 901","beeswax","glazing agent"
"glazing agent ins 904","shellac","glazing agent"
"green cardamom powder","cardamom","taste profile / spice"
"refined groundnut oil","groundnut","lipid base"
"emulsifiers lecithins","soybean | sunflower","emulsifier"
"soya lecithin ins 322","soybean","emulsifier"
"nimbu pani flavouring","lemon","flavouring agent"
"mono and diglycerides","palm | soybean | sunflower","emulsifier"
"mono-and diglycerides","palm | soybean | sunflower","emulsifier"
"roasted mustard seeds","mustard","taste profile / spice"
"gelling agent ins 440","apple | citrus","gelling agent"
"sichuan pepper powder","sichuan pepper","taste profile / spice"
"soya sauce flavouring","soybean | wheat","flavouring agent"
"antioxidant vitamin d","lanolin | fish liver oil","antioxidant"
"vapor distilled water","water","raw_agricultural_material"
"reverse osmosis water","water","raw_agricultural_material"
"acai berry flavouring","acai","flavouring agent"
"black truffle extract","truffle","flavouring agent"
"capsule shell ins 428","beef | pork | fish","gelling agent"
"croscarmellose sodium","wood","bulking agent"
"cultured sweet potato","sweet potato","fermentation_agent"
"enzyme blend digezyme","aspergillus oryzae | rice","fermentation_agent"
"fructooligosaccharide","sugarcane | chicory","sweetener|bulking agent"
"stabilizer gellan gum","sphingomonas elodea bacteria","stabiliser|gelling agent"
"saturated fatty acids","palm | coconut | milk","lipid base"
"shankhapushpi extract","shankhapushpi","flavouring agent"
"hydrogenated table oil","palm | soybean | groundnut","lipid base"
"dehydrated carrot bits","carrot","raw_agricultural_material"
"caramel color ins 150a","sugarcane","colour"
"color caramel ins 150a","sugarcane","colour"
"color paprika ins 160c","paprika","colour"
"color turmeric extract","turmeric","colour"
"color fd&c red 40 lake","synthetic","colour"
"dehydrated garlic bits","garlic","taste profile / spice"
"organic ginger rhizome","ginger","taste profile / spice"
"magnesium bisglycinate","synthetic","NULL"
"split black gram flour","black gram","raw_agricultural_material"
"filtered flax seed oil","flax","lipid base"
"sodium acetate ins 262","synthetic","preservative"
"stabilizer ins 450 iii","mineral","stabiliser"
"raising agent ins 3410","mineral","raising agent"
"raising agent ins 5030","synthetic","raising agent"
"raising agent ins 500i","mineral","raising agent"
"dried fenugreek leaves","fenugreek","taste profile / spice"
"stabilizer xanthan gum","xanthomonas campestris bacteria","stabiliser|thickener|gelling agent"
"dried coriander leaves","coriander","taste profile / spice"
"ground coriander seeds","coriander","taste profile / spice"
"pasteurised toned milk","milk","raw_agricultural_material"
"standardized milk curd","milk","processed_ingredient"
"active lactic cultures","milk","fermentation_agent"
"antifoaming agent dmps","synthetic","antifoaming agent"
"potassium ferrocyanide","mineral","anticaking agent"
"bifidobacterium lactis","milk","fermentation_agent"
"marinated paneer dices","milk","processed_ingredient"
"cacao magro in polvere","cocoa","processed_ingredient"
"cacao maigre en poudre","cocoa","processed_ingredient"
"condensed skimmed milk","milk","processed_ingredient"
"refined cottonseed oil","cottonseed","lipid base"
"wheat improver ins 510","mineral","flour treatment agent"
"wheat improver ins 923","synthetic","flour treatment agent"
"glazing agent carnauba","carnauba palm","glazing agent"
"kiwi juice concentrate","kiwi","flavouring agent"
"emulsifier soy ins 322","soybean","emulsifier"
"onion flavouring agent","onion","flavouring agent"
"proabsor8 blend papain","papaya","NULL"
"gelling agent ins 4401","apple | citrus","gelling agent"
"pomegranate flavouring","pomegranate","flavouring agent"
"potato flakes potatoes","potato","raw_agricultural_material"
"reducing agent ins 223","synthetic","preservative"
"wheat improver ins 923","synthetic","flour treatment agent"
"shatavari root extract","shatavari","raw_agricultural_material"
"enzyme b-galactosidase","synthetic","fermentation_agent"
"b-galactosidase enzyme","synthetic","fermentation_agent"
"ultrasorb tech lactase","synthetic","fermentation_agent"
"cysteine hydrochloride","synthetic","flour treatment agent"
"distillate of gaozaban","gaozaban","flavouring agent"
"fructo-oligosaccharide","sugarcane","sweetener|bulking agent"
"fructo-oligosaccharide","sugarcane","sweetener|bulking agent"
"fructo oligosaccharide","sugarcane","sweetener|bulking agent"
"fructooligosaccharides","sugarcane","sweetener|bulking agent"
"l-lysine hydrochloride","synthetic","flour treatment agent"
"packaging gas nitrogen","synthetic","packaging gas"
"vegetable oil palmolein","palm","lipid base"
"centre fractionated fat","palm","lipid base"
"carrot flavouring agent","carrot","flavouring agent"
"modified starch tapioca","tapioca","thickener"
"starch acetate ins 1420","tapioca | corn","thickener"
"mixed fruits flavouring","apple | mango | guava","flavouring agent"
"vegetables garlic paste","garlic","taste profile / spice"
"mango puree concentrate","mango","raw_agricultural_material"
"concentrated mango pulp","mango","raw_agricultural_material"
"vegetable oil rice bran","rice","lipid base"
"steviol glycoside reb-a","stevia","sweetener"
"strawberry fruit powder","strawberry","flavouring agent"
"vegetable oil sunflower","sunflower","lipid base"
"leavening agent ins 341","mineral","raising agent"
"leavening agent ins 450","mineral","raising agent"
"sodium tripolyphosphate","mineral","sequestrant"
"monopotassium phosphate","mineral","acidity regulator"
"leavening agent ins 500","mineral","raising agent"
"raising agent ins 500 i","mineral","raising agent"
"dehydrated orange juice","orange","flavouring agent"
"reconstituted skim milk","milk","raw_agricultural_material"
"whey protein hydrolsate","milk","processed_ingredient"
"apple juice concentrate","apple","flavouring agent"
"organic rama tulsi leaf","tulsi","flavouring agent"
"organic vana tulsi leaf","tulsi","flavouring agent"
"bifidobacterium bifidum","synthetic","probiotic"
"black pepper flavouring","black pepper","flavouring agent"
"butterscotch flavouring","synthetic","flavouring agent"
"cocoa butter equivalent","palm | shea | sal","lipid base"
"refined cotton seed oil","cottonseed","lipid base"
"cake emulsifier ins 491","palm","emulsifier"
"salt substitute ins 508","mineral","raw_agricultural_material"
"flour treatment ins 510","synthetic","flour treatment agent"
"flour improver ins 1100","aspergillus oryzae","flour treatment agent"
"wheat improver ins 1100","aspergillus oryzae","flour treatment agent"
"flour improver ins 1101","aspergillus oryzae","flour treatment agent"
"flour improver ins 1104","aspergillus oryzae","flour treatment agent"
"flour treatment ins 923","synthetic","flour treatment agent"
"glycerol ester of rosin","pine","glazing agent"
"guava puree concentrate","guava","raw_agricultural_material"
"lactobacillus rhamnosus","synthetic","probiotic"
"emulsifier soy lecithin","soybean","emulsifier"
"lemon juice concentrate","lemon","flavouring agent"
"organic lemongrass leaf","lemongrass","taste profile / spice"
"onion powder flavouring","onion","flavouring agent"
"pomegranate seed powder","pomegranate","processed_ingredient"
"bleaching agent ins 223","synthetic","bleaching agent"
"flour treatment ins 923","synthetic","flour treatment agent"
"uv treated and ozonized","SKIP","preservative"
"black truffle seasoning","truffle","taste profile / spice"
"food grade fish gelatin","fish","gelling agent"
"edible sodium caseinate","milk","processed_ingredient"
"hpmc vegetarian capsule","wood","NULL"
"cotton candy flavouring","synthetic","flavouring agent"
"ferric ammonium citrate","synthetic","anticaking agent"
"fructo-oligosaccharides","sugarcane | beet","sweetener|bulking agent"
"omega concentrate blend","fish","lipid base"
"sodium starch glycolate","potato","thickener"
"krishnalavana black salt","mineral","taste profile / spice"
"modified starch ins 1404","tapioca","thickener"
"modified starch ins 1420","tapioca","thickener"
"modified starch ins 1440","corn | tapioca | potato","thickener"
"modified starch ins 1442","corn | tapioca | potato","thickener"
"pteroylmonoglutamic acid","synthetic","NULL"
"dehydrated garlic powder","garlic","taste profile / spice"
"spice oleoresin gingerol","ginger","taste profile / spice"
"masala flavouring ginger","ginger","flavouring agent"
"high fructose corn syrup","corn","sweetener"
"anticaking agent ins 470","palm | soybean | sunflower","anticaking agent"
"anticaking agent ins 504","mineral","anticaking agent"
"concentrated milk solids","milk","processed_ingredient"
"soya protein hydrolysate","soybean","processed_ingredient"
"sugar substitute ins 960","stevia","sweetener"
"high oleic sunflower oil","sunflower","lipid base"
"anticaking agent ins 341","mineral","anticaking agent"
"emulsifying salt ins 341","mineral","emulsifier"
"anticaking agent ins 503","mineral","anticaking agent"
"raising agent ins 500 ii","mineral","raising agent"
"acidifying agent ins 330","synthetic | corn","acidity regulator"
"orange juice concentrate","orange","flavouring agent"
"skimmed milk concentrate","milk","processed_ingredient"
"whey protein concentrate","milk","processed_ingredient"
"acidifying agent ins 260","synthetic","acidity regulator"
"acitifying agent ins 260","synthetic","acidity regulator"
"anticaking agent ins 551","mineral","anticaking agent"
"anticaking agent ins 536","synthetic","anticaking agent"
"anticaking agent ins 541","mineral","anticaking agent"
"anticaking agent ins 553","mineral","anticaking agent"
"concentrated apple juice","apple","flavouring agent"
"organic chamomile flower","chamomile","flavouring agent"
"pasteurized skimmed milk","milk","processed_ingredient"
"dried bark of cinnamomum","cinnamon","taste profile / spice"
"fat-reduced cocoa powder","cocoa","processed_ingredient"
"vegetable oil cottonseed","cottonseed","lipid base"
"flavour enhancer ins 627","synthetic","flavouring agent"
"flavour enhancer ins 631","synthetic","flavouring agent"
"flavouring agent ins 631","synthetic","flavouring agent"
"flavour enhancer ins 635","synthetic","flavouring agent"
"binding agent gum acacia","acacia","binding agent|thickener|stabiliser"
"anticaking agent ins 414","acacia","anticaking agent"
"flavour enhancer ins 620","synthetic","flavouring agent"
"flavour enhancer ins 621","synthetic","flavouring agent"
"flavour enhancer ins 629","synthetic","flavouring agent"
"flavour enhancer ins 630","synthetic","flavouring agent"
"flavour enhancer ins 637","synthetic","flavouring agent"
"flavour enhancer ins 508","synthetic","flavouring agent"
"flour treatment ins 1100","aspergillus oryzae","flour treatment agent"
"thickening agent ins 412","guar","thickener"
"concentrated jamun juice","jamun","flavouring agent"
"emulsifier soya lecithin","soybean","emulsifier"
"emulsifier soya lecothin","soybean","emulsifier"
"concentrated lemon juice","lemon","flavouring agent"
"milk protein concentrate","milk","processed_ingredient"
"dehydrated potato flakes","potato","raw_agricultural_material"
"pyridoxine hydrochloride","synthetic","fortification_agent"
"sugar substitute ins 420","corn | tapioca","sweetener|bulking agent"
"ethylvanillin flavouring","synthetic","flavouring agent"
"toasted watermelon seeds","watermelon","raw_agricultural_material"
"cherry juice concentrate","cherry","flavouring agent"
"emulsifying salt ins 341","mineral","emulsifier"
"foam stabilizer ins 1505","quillaia saponaria","stabiliser"
"packaging gases nitrogen","synthetic","packaging gas"
"batter thickener ins 1412","tapioca","thickener"
"concentrated fruit juices","apple | orange | mango","raw_agricultural_material"
"chopped roasted hazelnuts","hazelnut","raw_agricultural_material"
"anticaking agent ins 4700","synthetic","anticaking agent"
"sodium selenite angydrate","mineral","preservative"
"zinc sulphate monohydrate","mineral","fortification_agent"
"acidity regulator ins 261","synthetic","acidity regulator"
"acidity regulator ins 262","synthetic","acidity regulator"
"acidity regulator ins 290","synthetic","acidity regulator"
"acidity regulator ins 394","synthetic","acidity regulator"
"acidity regulator ins 524","mineral","acidity regulator"
"acidity regulator ins 525","mineral","acidity regulator"
"acidity regulator ins 575","synthetic","acidity regulator"
"acidity regulator ins e30","synthetic | corn","acidity regulator"
"acidity regulator ins 338","mineral","acidity regulator"
"acidity regulator ins 341","mineral","acidity regulator"
"acidity regulator ins 451","mineral","acidity regulator"
"acidity regulator ins 339","mineral","acidity regulator"
"acidity regulator ins 340","mineral","acidity regulator"
"acidity regulator ins 503","mineral","acidity regulator"
"acidity regulator ins 504","mineral","acidity regulator"
"acidity regulator ins 501","mineral","acidity regulator"
"sodium hydrogen carbonate","synthetic","acidity regulator"
"acidity regulator ins 500","synthetic","acidity regulator"
"acidity regulator ins 330","synthetic | corn","acidity regulator"
"concentrated orange juice","orange","flavouring agent"
"acidity regulator ins 260","synthetic","acidity regulator"
"anticaking agent ins e551","mineral","anticaking agent"
"roasted and ground coffee","coffee","taste profile / spice"
"roasted bengal gram flour","bengal gram","raw_agricultural_material"
"desiccated coconut powder","coconut","processed_ingredient"
"dehydrated coconut shreds","coconut","raw_agricultural_material"
"coconut water concentrate","coconut","processed_ingredient"
"flavour enhancer ins 6351","synthetic","flavouring agent"
"stabilising agent ins 414","acacia tree","stabiliser|thickener|gelling agent"
"flavour enhancer ins 1101","synthetic","flavouring agent"
"ammonium chloride ins 510","synthetic","acidity regulator"
"garcinia cambogia extract","garcinia cambogia","flavouring agent"
"stabilising agent ins 445","pine resin","stabiliser|emulsifier"
"cardamom seeds flavouring","cardamom","taste profile / spice"
"emulsifying agent ins 412","guar bean","emulsifier"
"stabilizing agent ins 412","guar bean","stabiliser|thickener|gelling agent"
"hydrolysed ground protein","groundnut","processed_ingredient"
"acidity regulator ins 270","synthetic | corn","acidity regulator"
"lactobacillus acidophilus","synthetic","preservative"
"emulsifier soya lecithins","soybean","emulsifier"
"emulsifier – lecithin soy","soybean","emulsifier"
"mosambi juice concentrate","mosambi","flavouring agent"
"acidity regulator ins 196","synthetic","acidity regulator"
"acidity regulator ins 296","synthetic","acidity regulator"
"stabilising agent ins 471","palm | soybean | sunflower","stabiliser|emulsifier"
"stabilizing agent ins 471","palm | soybean | sunflower","stabiliser|emulsifier"
"parsley powder flavouring","parsley","flavouring agent"
"stabilizing agent ins 440","apple | citrus","stabiliser|gelling agent"
"stabilizing agent ins 401","seaweed","stabiliser|gelling agent"
"acidity regulator ins 331","synthetic | corn","acidity regulator"
"stabilising agent ins 331","synthetic | corn","stabiliser"
"acidity regulator ins 325","synthetic | corn","acidity regulator"
"acidity regulator ins 334","tartaric acid","acidity regulator"
"ethyl vanillin flavouring","synthetic","flavouring agent"
"vitamin d2 ergocalciferol","yeast","fortification_agent"
"enzyme beta galactosidase","aspergillus niger | kluyveromyces lactis","fermentation_agent"
"enzyme beta-galactosidase","aspergillus niger | kluyveromyces lactis","fermentation_agent"
"edible vegetable bran oil","rice","lipid base"
